DDF_ID,Originator Source,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft1_5m,ft01m,ft0_5m,ft00,ft0_5,ft01,ft1_5,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0,4,17.5,31,40.0,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98
2,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,41.5,83,87.0,91,94,95,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1.5,3,5.0,7,11,16,22,29,36,44,52,60,69,79,88,100,100,100,100,100,100,100,100,100,100,100
4,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3.5,7,10.5,14,21,27,35,42,49,57,65,73,82,92,100,100,100,100,100,100,100,100,100,100,100,100
5,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,9.0,18,25.5,33,65,88,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,60,80,95,97,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,25.0,30,50,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,30.0,60,80.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,7.5,15,22.5,30,50,75,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,15,15,15,15,25,25,25,25,50,50,50,50,75,75,100,100,100,100,100,100,100
11,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,25.0,50,67.5,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,22.5,45,62.5,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,27.0,54,58.5,63,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,33.0,66,77.0,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,27.5,35,50,65,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,11.0,22,30.5,39,58,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.0,49,64,77,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,50.0,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,60,81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,50.0,100,100.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,35.0,45,65,85,85,85,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
22,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,33.0,66,69.0,72,75,80,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2.5,5,12.5,20,79,88,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,10.0,20,40,60,70,73,76,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
26,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,10.0,20,40,60,80,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
27,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,33.5,42,62,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,16.5,23,35,48,60,74,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
29,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3.0,6,11.5,17,29,44,59,70,77,81,84,88,92,95,99,100,100,100,100,100,100,100,100,100,100,100
30,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,9.0,18,27.5,37,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.5,1,3.0,5,12,31,66,82,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
32,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,27.5,30,40,45,50,53,56,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
33,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,30.0,35,40,50,60,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
34,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,5.0,10,30,45,65,80,80,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
35,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,35.0,70,75.0,80,90,95,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
36,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.5,50,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
37,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0,4,13.0,22,33.0,44,74,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
38,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,3.0,6,21.5,37,43.5,50,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
39,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4.0,8,20.5,33,42.5,52,70,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5.0,10,15.0,20,30.0,40,70,85,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
41,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,6.5,13,18.5,24,33.5,43,82,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
42,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,10.0,20,47.5,75,76.5,78,85,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
43,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,10.0,20,35.0,50,70.0,90,95,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
44,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,10.0,20,49.0,78,89.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
45,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,27.5,55,60.0,65,77.5,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
46,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0,4,11.5,19,26.0,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91
47,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,9.0,18,24.0,30,59,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
48,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,15.0,20,40,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
49,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,32.5,40,55,70,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
50,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3.5,7,11.0,15,24,33,39,45,51,56,61,65,70,74,79,83,87,92,95,96,96,96,96,96,96,96
51,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,25.0,30,45,60,75,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
52,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.5,11,15.5,20,27,35,43,50,57,65,73,80,88,96,100,100,100,100,100,100,100,100,100,100,100,100
53,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.5,11,13.5,16,19,21,23,28,35,47,67,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90
54,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,8.5,17,22.0,27,36,44,52,59,67,73,80,90,98,100,100,100,100,100,100,100,100,100,100,100,100,100
55,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,6.0,12,18.5,25,37,50,62,75,85,93,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
56,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,25.0,30,50,53,55,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
57,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,17.5,35,42.5,50,63,75,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
58,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,7.5,15,17.5,20,30,40,50,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
59,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,25.0,30,40,50,50,50,75,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
60,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,50.0,100,100.0,100,100.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
61,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,4.0,8,16,28,32,40,43,46,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
62,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.5,11,13.5,16,19,21,23,28,35,47,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
63,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,60.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
64,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,10.0,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30
65,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
66,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.5,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
67,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,17.5,25,25,35,40,50,75,75,75,75,75,75,85,85,90,90,90,90,90,90,90,90,90,90
68,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,10,20,40,60,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
69,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,11.5,23,36.5,50,75,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
70,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.5,1,9.5,18,23.5,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71
71,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1.0,2,3.0,4,8,10,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
72,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
73,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,15.0,20,30,40,50,60,70,75,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
74,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.5,11,13.0,15,17,19,21,23,24,26,28,29,32,34,36,38,39,41,43,45,47,49,51,53,55,57
75,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4.0,8,20.5,33,42.5,52,70,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
76,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1.0,2,3.5,5,10,15,20,25,30,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
77,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,4.0,8,10.0,12,18,27,35,42,42,42,55,55,55,65,65,70,70,70,70,70,70,70,70,70,70,70
78,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,37.5,75,87.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
79,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,10,20,20,20,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50
80,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,10.0,20,30.0,40,60,80,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
81,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,7.0,14,23.5,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85
82,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,10.0,10,15,15,20,20,25,25,30,30,30,30,40,40,40,50,50,50,50,50,50,50,50,50
83,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,32.5,40,55,70,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,8.0,16,30.5,45,80,88,93,95,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
85,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,20.0,40,50,60,70,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
86,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,15.0,30,40.0,50,61,73,82,90,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
87,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3.5,7,9.5,12,16,20,23,26,27,29,30,30,36,39,41,44,46,49,51,54,57,60,63,66,69,72
88,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,10.0,10,10,10,10,10,10,20,20,20,20,20,30,30,30,40,40,40,40,40,40,40,40,40
89,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.5,5,15.0,25,40.0,55,75,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
90,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,8.5,17,31.5,46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
91,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,8.0,16,21,30,40,45,50,60,75,85,90,90,100,100,100,100,100,100,100,100,100,100,100,100
92,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,22.5,35,50,70,73,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
93,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0,4,14.0,24,40.5,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97
94,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.5,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
95,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,50.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
96,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,15.0,30,65.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
97,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.5,50,75,75,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
98,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,20,22,24,26,28,30,30,30,30,30,30,50,55,60,60,60,60,60,60,60,60
99,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,25.0,50,75.0,100,100.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,21.5,43,51.5,60,60,60,60,70,70,80,80,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100
101,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,32.5,40,55,70,85,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100
102,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,50.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
103,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.5,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
104,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,8.5,17,23.5,30,40,47,55,62,67,72,77,80,92,99,100,100,100,100,100,100,100,100,100,100,100,100
105,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,10,20,30,30,40,40,50,50,60,60,70,70,80,80,90,90,100,100,100,100,100,100
106,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,14.0,28,30.5,33,34.5,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75
107,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5.5,11,13.5,16,17.5,19,21,23,28,35,47,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
108,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,8.0,16,18.5,21,30,40,45,50,60,75,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
109,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.5,1,2.0,3,6,10,13,16,19,24,27,30,45,60,60,60,60,60,60,60,60,60,60,60,60,60
110,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,50.0,100,100.0,100,100.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
111,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2.0,4,14.0,24,40.5,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97
112,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,15.5,31,38.0,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100
113,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,35.0,70,80.0,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
114,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5.0,10,15.0,20,27,36,43,48,53,57,59,60,66,69,72,76,79,83,86,90,93,97,100,100,100,100
115,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,7.0,14,19.5,25,35,44,53,61,69,77,85,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100
116,USACE - Galveston District,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,12.5,25,37.5,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
